fixture_date,division,home_team,away_team,home_sets,home_games,away_sets,away_games
2026-04-20,1,WELW2,WELW1,1,14,2,25
2026-04-20,1,KNEB1,ORCH1,0,10,3,29
2026-04-20,1,ELLI1,CODI1,2,20,1,19
2026-04-20,1,HITC1,PIRT1,NA,NA,NA,NA
2026-04-20,2,GOSLG,KIMP1,3,22,0,17
2026-04-20,2,ASTO1,LETC1,1,20,2,19
2026-04-20,2,CODI2,ELLI2,2,21,1,18
2026-04-20,2,WELW3,WHEA1,2,19,1,20
2026-04-20,3A,KNEB3,ODYS1,0,10,3,29
2026-04-20,3A,DIGS2,KIMP2,1,21,2,18
2026-04-20,3A,HODD1,LIST1,0,7,3,32
2026-04-20,3A,WELW4,DELL1,0,11,3,28
2026-04-20,3B,KNEB2,HITC2,2,18,1,21
2026-04-20,3B,LEGE1,ODYS2,1,16,2,23
2026-04-20,3B,CODI3,WHEA2,2,21,1,18
2026-04-20,3B,ORCH2,DIGS1,2,22,1,17
2026-04-20,4A,HITC4,PIRT2,0,13,3,26
2026-04-20,4A,LEGE2,WATT2,1,16,2,23
2026-04-20,4A,WHEA3,ODYS4,2,17,1,22
2026-04-20,4A,WEST1,CODI4,3,27,0,12
2026-04-20,4B,WATT1,ELLI3,2,24,1,15
2026-04-20,4B,ASHW1,HITC3,1,14,2,25
2026-04-20,4B,ODYS3,ORCH3,1,18,2,21
2026-04-20,4B,KIMP3,DIGS3,NA,NA,NA,NA
2026-04-20,5A,ODYS5,DELL2,0,12,3,27
2026-04-20,5A,PIRT3,WHEA4,2,25,1,14
2026-04-20,5A,LIST2,DATCH,1,16,2,23
2026-04-20,5A,WATT4,ST M1,2,24,1,15
2026-04-20,5B,LETC2,KIMP4,3,33,0,6
2026-04-20,5B,ORCH4,WELW5,2,25,1,14
2026-04-20,5B,WATT3,ASHW2,2,23,1,16
2026-04-20,5B,WHEA5,CODI5,1,20,2,19
2026-04-20,6A,ELLI4,WELW6,2,24,1,15
2026-04-20,6A,ASTO3,WYMOY,2,22,1,17
2026-04-20,6A,DELL3,CODI6,3,29,0,10
2026-04-20,6A,TEWI1,LEGE3,2,26,1,13
2026-04-20,6B,KIMP5,ST M2,2,26,1,13
2026-04-20,6B,CODI7,HITC5,3,23,0,16
2026-04-20,6B,ORCH5,DELL4,2,24,1,15
2026-04-20,6B,DIGS4,ASTO2,1,19,2,20
2026-04-20,7A,DELL5,WATT5,0,12,3,27
2026-04-20,7A,WHEA6,ST PS,1,14,2,25
2026-04-20,7A,WEST2,KIMP6,1,19,2,20
2026-04-20,7A,ODYS6,KNEB5,1,17,2,22
2026-04-20,7B,WELW7,KNEB4,1,14,2,25
2026-04-20,7B,DELL6,TEWI2,0,11,3,28
2026-04-20,7B,ASHW3,HODD2,0,14,3,25
