fixture_date,division,home_team,away_team,home_sets,home_games,away_sets,away_games
2022-04-18,1,WHEATHAMPSTEAD 1,GOSLING 1,1,24,2,15
2022-04-18,1,ELLISWICK 1,WESTON 1,0,17,3,22
2022-04-18,1,HITCHIN 1,ORCHARD 1,0,13,3,26
2022-04-18,1,WELWYN 1,CODICOTE 1,3,24,0,15
2022-04-18,2,WELWYN 2,DIGSWELL 1,3,28,0,11
2022-04-18,2,CODICOTE 2,KIMPTON 1,0,14,3,25
2022-04-18,2,PIRTON 1,KNEBWORTH 1,2,26,1,13
2022-04-18,2,LETCHWORTH 1,ST MARG 1,3,23,0,16
2022-04-18,3A,DIGSWELL 2,CODICOTE 3,2,19,1,20
2022-04-18,3A,KIMPTON 3,HITCHIN 2,1,19,2,20
2022-04-18,3A,ORCHARD 2,DELLCOTT 1,2,19,1,20
2022-04-18,3A,WHEATHAMPSTEAD 3,WELWYN 3,1,18,2,21
2022-04-18,3B,CODICOTE 4,ST PAULS 1,3,27,0,12
2022-04-18,3B,WATTON 1,WHEATHAMPSTEAD 2,1,15,2,24
2022-04-18,3B,LEGENDS 1,DIGSWELL 3,3,25,0,14
2022-04-18,3B,KIMPTON 2,ELLISWICK 2,2,21,1,18
2022-04-18,4A,LETCHWORTH 2,KNEBWORTH 3,3,25,0,14
2022-04-18,4A,ELLISWICK 3,CODICOTE 5,3,22,0,17
2022-04-18,4A,ODYSSEY 1,ASHWELL 1,,,,
2022-04-18,4A,ASTON 1,WYMONDLEY 1,1,18,2,21
2022-04-18,4B,LEGENDS 2,ST MARG 2,3,29,0,10
2022-04-18,4B,KNEBWORTH 2,WATTON 2,3,32,0,7
2022-04-18,4B,DELLCOTT 2,HITCHIN 3,0,13,3,26
2022-04-18,4B,DIGSWELL 4,KIMPTON 4,2,23,1,16
2022-04-18,5A,GOSLING 2,WHEATHAMPSTEAD 4,2,29,1,10
2022-04-18,5A,WELWYN 5,ORCHARD 3,1,14,2,25
2022-04-18,5A,ODYSSEY 3,LEGENDS 3,1,18,2,21
2022-04-18,5A,WATTON 3,TEWIN 1,1,18,2,21
2022-04-18,5B,TEWIN 2,DIGSWELL 5,2,19,1,20
2022-04-18,5B,WELWYN 4,ODYSSEY 2,1,18,2,21
2022-04-18,5B,KIMPTON 5,DATCHWORTH,0,15,3,24
2022-04-18,6A,HITCHIN 4,LEGENDS 4,3,25,0,14
2022-04-18,6A,DELLCOTT 3,WELWYN 6,0,11,3,28
2022-04-18,6A,ORCHARD 4,PIRTON 2,0,11,3,28
2022-04-18,6B,ST PAULS 2,WELWYN 7,0,9,3,30
2022-04-18,6B,WHEATHAMPSTEAD 5,ASTON 2,2,19,1,20
2022-04-18,6B,KNEBWORTH 4,ORCHARD 5,3,23,0,16
2022-04-18,7A,ASHWELL 2,ASTON 3,1,19,2,20
2022-04-18,7A,WYMONDLEY 2,LETCHWORTH 4,3,29,0,10
2022-04-18,7A,WATTON 5,ODYSSEY 4,1,20,2,19
2022-04-18,7A,CODICOTE 6,KNEBWORTH 6,3,33,0,6
2022-04-18,7B,KNEBWORTH 7,LETCHWORTH 3,0,9,3,30
2022-04-18,7B,KIMPTON 6,TEWIN 3,2,22,1,17
2022-04-18,7B,ORCHARD 6,WATTON 4,3,27,0,12
2022-04-18,8A,PIRTON 3,ASHWELL 3,1,16,2,23
2022-04-18,8A,HODDESDON,KIMPTON 7,3,35,0,4
2022-04-18,8A,CODICOTE 8,DELLCOTT 4,3,24,0,15
2022-04-18,8B,ASTON 4,HITCHIN 5,0,13,3,26
2022-04-18,8B,ODYSSEY 5,CODICOTE 7,1,18,2,21
2022-04-18,8B,ASHWELL 4,WELWYN 8,0,11,3,28
2022-04-25,1,CODICOTE 1,WHEATHAMPSTEAD 1,3,26,0,13
2022-04-25,1,GOSLING 1,ELLISWICK 1,2,20,0,0
2022-04-25,1,WESTON 1,ORCHARD 1,2,21,1,18
2022-04-25,1,HITCHIN 1,WELWYN 1,2,18,1,21
2022-04-25,2,ST MARG 1,WELWYN 2,0,9,3,30
2022-04-25,2,DIGSWELL 1,CODICOTE 2,3,26,0,13
2022-04-25,2,KIMPTON 1,KNEBWORTH 1,2,23,1,16
2022-04-25,2,PIRTON 1,LETCHWORTH 1,3,25,0,14
