division,team,played,sets_won,games_won
1,CODICOTE 1,14,29,302
1,ORCHARD 1,13,28,320
1,WELWYN 1,14,25,303
1,WESTON 1,14,24,287
1,HITCHIN 1,14,21,274
1,WHEATHAMPSTEAD 1,13,15,232
1,ELLISWICK 1,14,11,194
1,GOSLING 1,14,8,149
2,PIRTON 1,14,31,334
2,LETCHWORTH 1,14,28,313
2,KNEBWORTH 1,14,26,287
2,WELWYN 2,14,20,275
2,DIGSWELL 1,14,19,245
2,KIMPTON 1,13,18,257
2,CODICOTE 2,14,15,243
2,ST MARG 1,13,8,188
3A,WELWYN 3,14,29,310
3A,DELLCOTT 1,14,28,298
3A,ORCHARD 2,14,27,314
3A,HITCHIN 2,14,26,316
3A,DIGSWELL 2,13,21,240
3A,CODICOTE 3,14,18,265
3A,KIMPTON 3,13,7,191
3A,WHEATHAMPSTEAD 3,12,6,172
3B,LEGENDS 1,14,32,332
3B,ELLISWICK 2,14,31,331
3B,WHEATHAMPSTEAD 2,14,30,322
3B,KIMPTON 2,14,22,278
3B,CODICOTE 4,14,18,279
3B,WATTON 1,14,16,241
3B,DIGSWELL 3,13,12,213
3B,ST PAULS 1,13,3,124
4A,WYMONDLEY 1,14,28,299
4A,ODYSSEY 1,13,27,287
4A,ELLISWICK 3,14,26,299
4A,ASTON 1,14,22,282
4A,LETCHWORTH 2,12,17,221
4A,CODICOTE 5,14,15,234
4A,ASHWELL 1,11,15,208
4A,KNEBWORTH 3,14,8,218
4B,KNEBWORTH 2,13,30,319
4B,LEGENDS 2,14,29,330
4B,HITCHIN 3,14,26,310
4B,ST MARG 2,13,17,222
4B,DELLCOTT 2,13,17,219
4B,KIMPTON 4,13,16,224
4B,DIGSWELL 4,13,12,213
4B,WATTON 2,13,11,205
5A,GOSLING 2,14,32,360
5A,WHEATHAMPSTEAD 4,14,25,269
5A,ORCHARD 3,14,22,286
5A,WELWYN 5,14,20,265
5A,LEGENDS 3,14,20,245
5A,TEWIN 1,14,19,268
5A,WATTON 3,14,15,244
5A,ODYSSEY 3,14,15,227
5B,ODYSSEY 2,12,28,298
5B,WELWYN 4,12,24,270
5B,TEWIN 2,12,18,218
5B,ST MARG 3,12,17,223
5B,DATCHWORTH,12,14,216
5B,DIGSWELL 5,12,13,199
5B,KIMPTON 5,12,11,183
6A,PIRTON 2,12,36,380
6A,ORCHARD 4,12,23,273
6A,WELWYN 6,12,23,254
6A,HITCHIN 4,11,18,221
6A,DELLCOTT 3,11,12,177
6A,LEGENDS 4,12,6,147
6A,KNEBWORTH 5,12,5,147
6B,ASTON 2,12,28,288
6B,WELWYN 7,12,28,286
6B,KNEBWORTH 4,12,24,258
6B,WHEATHAMPSTEAD 5,11,14,214
6B,WESTON 2,11,12,195
6B,ORCHARD 5,11,10,183
6B,ST PAULS 2,11,3,111
7A,CODICOTE 6,14,35,379
7A,ODYSSEY 4,13,27,297
7A,ASHWELL 2,13,24,283
7A,ASTON 3,14,22,280
7A,WATTON 5,14,21,281
7A,WYMONDLEY 2,14,15,236
7A,LETCHWORTH 4,14,11,190
7A,KNEBWORTH 6,14,9,179
7B,LETCHWORTH 3,12,30,301
7B,LISTER,12,26,287
7B,KIMPTON 6,11,21,225
7B,ORCHARD 6,11,16,202
7B,TEWIN 3,12,15,217
7B,WATTON 4,12,8,184
7B,KNEBWORTH 7,12,7,171
8A,HODDESDON,10,25,261
8A,KIMPTON 7,10,20,209
8A,PIRTON 3,10,17,212
8A,ASHWELL 3,10,13,186
8A,CODICOTE 8,10,8,133
8A,DELLCOTT 4,10,5,131
8B,CODICOTE 7,12,30,290
8B,WELWYN 8,12,26,293
8B,HITCHIN 5,11,22,236
8B,ODYSSEY 5,12,20,271
8B,ASHWELL 4,10,10,142
8B,ASTON 4,12,5,149
8B,WHEATHAMPSTEAD 6,11,5,141
