division,team,played,sets_won,games_won
1,ORCHARD 1,1,3,29
1,WELWYN 1,1,2,25
1,ELLISWICK 1,1,2,20
1,CODICOTE 1,1,1,19
1,WELWYN 2,1,1,14
1,KNEBWORTH 1,1,0,10
1,HITCHIN 1,0,0,0
1,PIRTON 1,0,0,0
2,GOSLING,1,3,22
2,CODICOTE 2,1,2,21
2,LETCHWORTH 1,1,2,19
2,WELWYN 3,1,2,19
2,ASTON 1,1,1,20
2,WHEATHAMPSTEAD 1,1,1,20
2,ELLISWICK 2,1,1,18
2,KIMPTON 1,1,0,17
3A,LISTER 1,1,3,32
3A,ODYSSEY 1,1,3,29
3A,DELLCOTT 1,1,3,28
3A,KIMPTON 2,1,2,18
3A,DIGSWELL 2,1,1,21
3A,WELWYN 4,1,0,11
3A,KNEBWORTH 3,1,0,10
3A,HODDESDON 1,1,0,7
3B,ODYSSEY 2,1,2,23
3B,ORCHARD 2,1,2,22
3B,CODICOTE 3,1,2,21
3B,KNEBWORTH 2,1,2,18
3B,HITCHIN 2,1,1,21
3B,WHEATHAMPSTEAD 2,1,1,18
3B,DIGSWELL 1,1,1,17
3B,LEGENDS 1,1,1,16
4A,WESTON 1,1,3,27
4A,PIRTON 2,1,3,26
4A,WATTON 2,1,2,23
4A,WHEATHAMPSTEAD 3,1,2,17
4A,ODYSSEY 4,1,1,22
4A,LEGENDS 2,1,1,16
4A,HITCHIN 4,1,0,13
4A,CODICOTE 4,1,0,12
4B,HITCHIN 3,1,2,25
4B,WATTON 1,1,2,24
4B,ORCHARD 3,1,2,21
4B,ODYSSEY 3,1,1,18
4B,ELLISWICK 3,1,1,15
4B,ASHWELL 1,1,1,14
4B,KIMPTON 3,0,0,0
4B,DIGSWELL 3,0,0,0
5A,DELLCOTT 2,1,3,27
5A,PIRTON 3,1,2,25
5A,WATTON 4,1,2,24
5A,DATCHWORTH,1,2,23
5A,LISTER 2,1,1,16
5A,ST MARG 1,1,1,15
5A,WHEATHAMPSTEAD 4,1,1,14
5A,ODYSSEY 5,1,0,12
5B,LETCHWORTH 2,1,3,33
5B,ORCHARD 4,1,2,25
5B,WATTON 3,1,2,23
5B,CODICOTE 5,1,2,19
5B,WHEATHAMPSTEAD 5,1,1,20
5B,ASHWELL 2,1,1,16
5B,WELWYN 5,1,1,14
5B,KIMPTON 4,1,0,6
6A,DELLCOTT 3,1,3,29
6A,TEWIN 1,1,2,26
6A,ELLISWICK 4,1,2,24
6A,ASTON 3,1,2,22
6A,WYMONDLEY,1,1,17
6A,WELWYN 6,1,1,15
6A,LEGENDS 3,1,1,13
6A,CODICOTE 6,1,0,10
6B,CODICOTE 7,1,3,23
6B,KIMPTON 5,1,2,26
6B,ORCHARD 5,1,2,24
6B,ASTON 2,1,2,20
6B,DIGSWELL 4,1,1,19
6B,DELLCOTT 4,1,1,15
6B,ST MARG 2,1,1,13
6B,HITCHIN 5,1,0,16
7A,WATTON 5,1,3,27
7A,ST PAULS,1,2,25
7A,KNEBWORTH 5,1,2,22
7A,KIMPTON 6,1,2,20
7A,WESTON 2,1,1,19
7A,ODYSSEY 6,1,1,17
7A,WHEATHAMPSTEAD 6,1,1,14
7A,DELLCOTT 5,1,0,12
7B,ORCHARD 6,1,3,29
7B,TEWIN 2,1,3,28
7B,HODDESDON 2,1,3,25
7B,KNEBWORTH 4,1,2,25
7B,WELWYN 7,1,1,14
7B,ASHWELL 3,1,0,14
7B,DELLCOTT 6,1,0,11
7B,HITCHIN 6,1,0,10
8A,DIGSWELL 5,1,3,33
8A,WELWYN 8,1,3,32
8A,LISTER 3,1,3,30
8A,LETCHWORTH 3,1,2,26
8A,ASTON 4,1,1,13
8A,KIMPTON 7,1,0,9
8A,CODICOTE 8,1,0,7
8A,KNEBWORTH 6,1,0,6
