fixture_date,division,home_team,away_team,home_sets,home_games,away_sets,away_games
2026-04-20,4B,ASHWELL 1,HITCHIN 3,1,14,2,25
2026-05-04,4B,ASHWELL 1,DIGSWELL 3,1,17,2,22
2026-05-25,4B,ASHWELL 1,ORCHARD 3,2,23,1,16
2026-06-01,4B,ASHWELL 1,KIMPTON 3,1,17,2,22
2026-06-15,4B,ASHWELL 1,ELLISWICK 3,3,28,0,11
2026-06-29,4B,ASHWELL 1,ODYSSEY 3,0,12,3,27
2026-07-06,4B,ASHWELL 1,WATTON 1,2,19,1,18
2026-05-04,5B,ASHWELL 2,KIMPTON 4,3,27,0,12
2026-05-18,5B,ASHWELL 2,WHEATHAMPSTEAD 5,3,25,0,14
2026-06-08,5B,ASHWELL 2,WATTON 3,1,19,2,20
2026-06-15,5B,ASHWELL 2,WELWYN 5,2,19,1,20
2026-06-29,5B,ASHWELL 2,CODICOTE 5,2,21,1,18
2026-04-20,7B,ASHWELL 3,HODDESDON 2,0,14,3,25
2026-04-27,7B,ASHWELL 3,HITCHIN 6,0,13,3,26
2026-05-11,7B,ASHWELL 3,DELLCOTT 6,2,19,1,20
2026-05-25,7B,ASHWELL 3,ORCHARD 6,1,13,2,26
2026-06-01,7B,ASHWELL 3,KNEBWORTH 4,0,8,3,31
2026-06-22,7B,ASHWELL 3,WELWYN 7,2,20,1,19
2026-04-20,2,ASTON 1,LETCHWORTH 1,1,20,2,19
2026-05-04,2,ASTON 1,WHEATHAMPSTEAD 1,3,32,0,7
2026-05-25,2,ASTON 1,ELLISWICK 2,3,34,0,5
2026-06-01,2,ASTON 1,WELWYN 3,3,28,0,11
2026-06-15,2,ASTON 1,KIMPTON 1,2,20,0,0
2026-06-29,2,ASTON 1,CODICOTE 2,3,33,0,6
2026-04-27,6B,ASTON 2,KIMPTON 5,2,24,1,15
2026-05-11,6B,ASTON 2,DELLCOTT 4,1,20,2,19
2026-05-18,6B,ASTON 2,ST MARG 2,3,32,0,7
2026-06-08,6B,ASTON 2,DIGSWELL 4,1,17,2,22
2026-06-22,6B,ASTON 2,CODICOTE 7,3,30,0,9
2026-04-20,6A,ASTON 3,WYMONDLEY,2,22,1,17
2026-05-04,6A,ASTON 3,LEGENDS 3,2,19,1,20
2026-05-25,6A,ASTON 3,CODICOTE 6,1,20,2,19
2026-06-01,6A,ASTON 3,TEWIN 1,0,11,3,28
2026-06-15,6A,ASTON 3,WELWYN 6,0,17,3,22
2026-06-29,6A,ASTON 3,DELLCOTT 3,0,9,3,30
2026-04-27,8A,ASTON 4,DIGSWELL 5,0,7,3,32
2026-05-11,8A,ASTON 4,LISTER 3,1,21,2,18
2026-05-18,8A,ASTON 4,KNEBWORTH 6,2,24,1,15
2026-06-08,8A,ASTON 4,LETCHWORTH 3,0,14,3,25
2026-06-22,8A,ASTON 4,CODICOTE 8,3,34,0,5
2026-05-04,1,CODICOTE 1,WELWYN 1,0,14,3,25
2026-05-18,1,CODICOTE 1,HITCHIN 1,1,18,2,21
2026-06-08,1,CODICOTE 1,ELLISWICK 1,2,17,1,22
2026-06-29,1,CODICOTE 1,PIRTON 1,3,29,0,10
2026-04-20,2,CODICOTE 2,ELLISWICK 2,2,21,1,18
2026-04-27,2,CODICOTE 2,WELWYN 3,1,19,2,20
2026-05-11,2,CODICOTE 2,ASTON 1,1,17,2,22
2026-05-25,2,CODICOTE 2,WHEATHAMPSTEAD 1,2,17,1,22
2026-06-01,2,CODICOTE 2,KIMPTON 1,2,23,1,16
2026-06-22,2,CODICOTE 2,GOSLING,2,22,1,17
2026-04-20,3B,CODICOTE 3,WHEATHAMPSTEAD 2,2,21,1,18
2026-04-27,3B,CODICOTE 3,ORCHARD 2,1,16,2,23
2026-05-11,3B,CODICOTE 3,LEGENDS 1,0,12,3,27
2026-05-25,3B,CODICOTE 3,DIGSWELL 1,2,21,1,18
2026-06-01,3B,CODICOTE 3,HITCHIN 2,1,19,2,20
2026-06-22,3B,CODICOTE 3,KNEBWORTH 2,2,19,1,20
2026-07-06,3B,CODICOTE 3,ODYSSEY 2,2,26,1,13
2026-04-27,4A,CODICOTE 4,HITCHIN 4,2,23,1,16
2026-05-11,4A,CODICOTE 4,ODYSSEY 4,2,18,1,21
2026-05-18,4A,CODICOTE 4,PIRTON 2,1,21,2,18
2026-06-08,4A,CODICOTE 4,WESTON 1,0,12,3,27
2026-06-22,4A,CODICOTE 4,LEGENDS 2,3,30,0,9
2026-04-27,5B,CODICOTE 5,LETCHWORTH 2,2,21,1,18
2026-05-11,5B,CODICOTE 5,ASHWELL 2,3,25,0,14
2026-05-18,5B,CODICOTE 5,KIMPTON 4,2,25,1,14
2026-06-08,5B,CODICOTE 5,WHEATHAMPSTEAD 5,2,23,1,16
2026-06-22,5B,CODICOTE 5,ORCHARD 4,1,18,2,21
2026-05-04,6A,CODICOTE 6,WELWYN 6,2,19,1,20
2026-05-18,6A,CODICOTE 6,TEWIN 1,2,17,1,22
2026-06-08,6A,CODICOTE 6,DELLCOTT 3,0,13,3,26
2026-06-15,6A,CODICOTE 6,WYMONDLEY,2,26,1,13
2026-04-20,6B,CODICOTE 7,HITCHIN 5,3,23,0,16
2026-05-04,6B,CODICOTE 7,ASTON 2,1,12,2,27
2026-05-25,6B,CODICOTE 7,DELLCOTT 4,0,14,3,25
2026-06-01,6B,CODICOTE 7,DIGSWELL 4,3,21,0,18
2026-06-15,6B,CODICOTE 7,ST MARG 2,0,9,3,30
2026-06-29,6B,CODICOTE 7,ORCHARD 5,3,32,0,7
2026-04-20,8A,CODICOTE 8,WELWYN 8,0,7,3,32
2026-05-04,8A,CODICOTE 8,ASTON 4,1,17,2,22
2026-05-25,8A,CODICOTE 8,LISTER 3,0,10,3,29
2026-06-01,8A,CODICOTE 8,LETCHWORTH 3,0,13,3,26
2026-06-15,8A,CODICOTE 8,KNEBWORTH 6,0,12,3,27
2026-06-29,8A,CODICOTE 8,KIMPTON 7,1,19,2,20
2026-07-06,8A,CODICOTE 8,DIGSWELL 5,0,11,3,28
2026-05-04,5A,DATCHWORTH,DELLCOTT 2,0,15,3,24
2026-05-18,5A,DATCHWORTH,WATTON 4,1,17,2,22
2026-06-08,5A,DATCHWORTH,LISTER 2,1,19,2,20
2026-06-15,5A,DATCHWORTH,WHEATHAMPSTEAD 4,2,25,1,14
2026-06-29,5A,DATCHWORTH,ST MARG 1,1,17,2,22
2026-04-27,3A,DELLCOTT 1,KNEBWORTH 3,2,21,1,18
2026-05-11,3A,DELLCOTT 1,LISTER 1,1,17,2,22
2026-05-18,3A,DELLCOTT 1,ODYSSEY 1,1,14,2,25
2026-06-08,3A,DELLCOTT 1,WELWYN 4,3,30,0,9
2026-04-27,5A,DELLCOTT 2,PIRTON 3,3,32,0,7
2026-05-11,5A,DELLCOTT 2,WATTON 4,2,19,1,20
2026-05-25,5A,DELLCOTT 2,WHEATHAMPSTEAD 4,2,21,1,18
2026-06-08,5A,DELLCOTT 2,ODYSSEY 5,3,26,0,13
2026-04-20,6A,DELLCOTT 3,CODICOTE 6,3,29,0,10
2026-04-27,6A,DELLCOTT 3,TEWIN 1,3,25,0,14
2026-05-11,6A,DELLCOTT 3,ASTON 3,3,35,0,4
2026-05-25,6A,DELLCOTT 3,LEGENDS 3,3,25,0,14
2026-06-01,6A,DELLCOTT 3,WELWYN 6,3,28,0,11
2026-06-22,6A,DELLCOTT 3,ELLISWICK 4,3,28,0,11
2026-07-06,6A,DELLCOTT 3,WYMONDLEY,3,32,0,7
